expiry_str,expiry_date,strike,type,mark_iv,mark_price,underlying_price,open_interest,bid_price,ask_price,best_bid_price,best_ask_price,volume,instrument_name
19DEC25,2025-12-19,89000.0,C,49.93,0.04083496,90232.89,29.9,0.0405,0.041,,,2.4,BTC-19DEC25-89000-C
19DEC25,2025-12-19,89000.0,P,49.93,0.0271757,90232.89,160.6,0.027,0.0275,,,108.0,BTC-19DEC25-89000-P
19DEC25,2025-12-19,90000.0,C,49.14,0.03451691,90232.89,577.7,0.034,0.035,,,209.6,BTC-19DEC25-90000-C
19DEC25,2025-12-19,90000.0,P,49.14,0.03194012,90232.89,463.6,0.0315,0.0325,,,276.6,BTC-19DEC25-90000-P
19DEC25,2025-12-19,91000.0,C,48.71,0.02902218,90238.05,337.4,0.0285,0.0295,,,139.4,BTC-19DEC25-91000-C
19DEC25,2025-12-19,91000.0,P,48.71,0.03753494,90232.89,115.9,0.037,0.038,,,75.1,BTC-19DEC25-91000-P
19DEC25,2025-12-19,92000.0,C,47.91,0.02387594,90232.89,367.4,0.0235,0.0245,,,112.1,BTC-19DEC25-92000-C
19DEC25,2025-12-19,92000.0,P,47.91,0.04346411,90232.89,185.9,0.0435,0.0445,,,39.0,BTC-19DEC25-92000-P
19DEC25,2025-12-19,93000.0,C,47.91,0.01983241,90232.89,231.7,0.0195,0.02,,,51.4,BTC-19DEC25-93000-C
19DEC25,2025-12-19,93000.0,P,47.91,0.05051402,90238.05,62.6,0.0495,0.0515,,,12.0,BTC-19DEC25-93000-P
19DEC25,2025-12-19,94000.0,C,47.9,0.01631944,90232.89,420.5,0.0155,0.0165,,,12.1,BTC-19DEC25-94000-C
19DEC25,2025-12-19,94000.0,P,47.9,0.05807257,90232.89,38.4,0.057,0.059,,,4.2,BTC-19DEC25-94000-P
19DEC25,2025-12-19,95000.0,C,47.75,0.01322967,90232.89,901.1,0.0125,0.0135,,,194.7,BTC-19DEC25-95000-C
19DEC25,2025-12-19,95000.0,P,47.75,0.06606529,90238.05,17.0,0.065,0.067,,,5.8,BTC-19DEC25-95000-P
19DEC25,2025-12-19,96000.0,C,47.73,0.0106707,90232.89,472.3,0.01,0.011,,,49.5,BTC-19DEC25-96000-C
19DEC25,2025-12-19,96000.0,P,47.73,0.07458879,90232.89,3.8,0.0725,0.076,,,0.1,BTC-19DEC25-96000-P
19DEC25,2025-12-19,97000.0,C,47.83,0.00858736,90238.05,94.8,0.008,0.0085,,,20.1,BTC-19DEC25-97000-C
19DEC25,2025-12-19,97000.0,P,47.83,0.08358793,90232.89,0.5,0.0775,0.101,,,0.1,BTC-19DEC25-97000-P
19DEC25,2025-12-19,98000.0,C,47.9,0.00684416,90232.89,628.2,0.0065,0.007,,,18.1,BTC-19DEC25-98000-C
19DEC25,2025-12-19,98000.0,P,47.9,0.09292722,90232.89,42.9,0.091,0.0945,,,0.1,BTC-19DEC25-98000-P
19DEC25,2025-12-19,99000.0,C,47.91,0.00538672,90232.89,362.4,0.005,0.0055,,,68.0,BTC-19DEC25-99000-C
19DEC25,2025-12-19,99000.0,P,47.91,0.10255226,90232.89,2.7,0.0935,0.1225,,,0.1,BTC-19DEC25-99000-P
19DEC25,2025-12-19,100000.0,C,48.14,0.00427566,90232.89,1110.1,0.0041,0.0044,,,478.7,BTC-19DEC25-100000-C
19DEC25,2025-12-19,100000.0,P,48.14,0.11252367,90232.89,1.8,0.1025,0.1245,,,0.1,BTC-19DEC25-100000-P
19DEC25,2025-12-19,105000.0,C,51.45,0.00157561,90232.89,1611.3,0.0015,0.0016,,,55.6,BTC-19DEC25-105000-C
19DEC25,2025-12-19,105000.0,P,51.45,0.16523602,90232.89,1.6,0.1455,0.186,,,0.0,BTC-19DEC25-105000-P
19DEC25,2025-12-19,115000.0,C,61.54,0.00040349,90238.05,932.2,0.0003,0.0006,,,31.9,BTC-19DEC25-115000-C
19DEC25,2025-12-19,115000.0,P,61.54,0.27488871,90232.89,2.1,0.245,0.306,,,0.0,BTC-19DEC25-115000-P
26DEC25,2025-12-26,20000.0,C,170.17,0.77855753,90323.05,36.9,0.778,0.779,,,0.0,BTC-26DEC25-20000-C
26DEC25,2025-12-26,20000.0,P,170.17,1.01e-06,90317.89,572.8,,0.0001,,,47.0,BTC-26DEC25-20000-P
26DEC25,2025-12-26,30000.0,C,140.98,0.66784259,90323.05,33.0,0.667,0.6685,,,0.0,BTC-26DEC25-30000-C
26DEC25,2025-12-26,30000.0,P,140.98,7.8e-06,90323.05,739.5,,0.0001,,,11.0,BTC-26DEC25-30000-P
26DEC25,2025-12-26,40000.0,C,123.07,0.55717609,90323.05,24.8,0.5565,0.558,,,0.0,BTC-26DEC25-40000-C
