expiry_str,expiry_date,strike,type,mark_iv,mark_price,underlying_price,open_interest,bid_price,ask_price,best_bid_price,best_ask_price,volume,instrument_name,contractSymbol,underlying_ticker
2025-12-16,2025-12-16,6460.0,C,0.4661308270263672,435.37,6816.509765625,3.0,358.4,362.4,358.4,362.4,,^SPX-2025-12-16-6460.0-C,SPXW251216C06460000,^SPX
2025-12-16,2025-12-16,6460.0,P,0.270515107421875,0.1,6816.509765625,56.0,0.05,0.15,0.05,0.15,49.0,^SPX-2025-12-16-6460.0-P,SPXW251216P06460000,^SPX
2025-12-16,2025-12-16,6465.0,P,0.26709717285156254,0.1,6816.509765625,59.0,0.05,0.15,0.05,0.15,11.0,^SPX-2025-12-16-6465.0-P,SPXW251216P06465000,^SPX
2025-12-16,2025-12-16,6470.0,C,0.45383236602783206,297.33,6816.509765625,1.0,348.5,352.3,348.5,352.3,1.0,^SPX-2025-12-16-6470.0-C,SPXW251216C06470000,^SPX
2025-12-16,2025-12-16,6470.0,P,0.26367923828125,0.3,6816.509765625,168.0,0.05,0.15,0.05,0.15,152.0,^SPX-2025-12-16-6470.0-P,SPXW251216P06470000,^SPX
2025-12-16,2025-12-16,6475.0,C,0.4485223605346679,273.97,6816.509765625,6.0,343.5,347.3,343.5,347.3,,^SPX-2025-12-16-6475.0-C,SPXW251216C06475000,^SPX
2025-12-16,2025-12-16,6475.0,P,0.2602613037109375,0.1,6816.509765625,62.0,0.05,0.15,0.05,0.15,424.0,^SPX-2025-12-16-6475.0-P,SPXW251216P06475000,^SPX
2025-12-16,2025-12-16,6480.0,C,0.4432123550415039,288.68,6816.509765625,4.0,338.5,342.3,338.5,342.3,1.0,^SPX-2025-12-16-6480.0-C,SPXW251216C06480000,^SPX
2025-12-16,2025-12-16,6480.0,P,0.25659923095703124,0.1,6816.509765625,127.0,0.05,0.15,0.05,0.15,472.0,^SPX-2025-12-16-6480.0-P,SPXW251216P06480000,^SPX
2025-12-16,2025-12-16,6485.0,P,0.25318129638671877,0.1,6816.509765625,30.0,0.05,0.15,0.05,0.15,49.0,^SPX-2025-12-16-6485.0-P,SPXW251216P06485000,^SPX
2025-12-16,2025-12-16,6490.0,P,0.24951922363281248,0.1,6816.509765625,122.0,0.05,0.15,0.05,0.15,11.0,^SPX-2025-12-16-6490.0-P,SPXW251216P06490000,^SPX
2025-12-16,2025-12-16,6495.0,P,0.2461012890625,0.1,6816.509765625,136.0,0.05,0.15,0.05,0.15,32.0,^SPX-2025-12-16-6495.0-P,SPXW251216P06495000,^SPX
2025-12-16,2025-12-16,6500.0,C,0.4202633657836914,318.43,6816.509765625,6.0,318.7,322.2,318.7,322.2,10.0,^SPX-2025-12-16-6500.0-C,SPXW251216C06500000,^SPX
2025-12-16,2025-12-16,6500.0,P,0.24268335449218748,0.1,6816.509765625,5208.0,0.05,0.15,0.05,0.15,615.0,^SPX-2025-12-16-6500.0-P,SPXW251216P06500000,^SPX
2025-12-16,2025-12-16,6505.0,P,0.24658956542968752,0.15,6816.509765625,46.0,0.05,0.2,0.05,0.2,219.0,^SPX-2025-12-16-6505.0-P,SPXW251216P06505000,^SPX
2025-12-16,2025-12-16,6510.0,C,0.41119973571777346,390.43,6816.509765625,4.0,308.7,312.3,308.7,312.3,1.0,^SPX-2025-12-16-6510.0-C,SPXW251216C06510000,^SPX
2025-12-16,2025-12-16,6510.0,P,0.24292749267578123,0.1,6816.509765625,1190.0,0.05,0.2,0.05,0.2,90.0,^SPX-2025-12-16-6510.0-P,SPXW251216P06510000,^SPX
2025-12-16,2025-12-16,6515.0,P,0.23926541992187497,0.25,6816.509765625,35.0,0.05,0.2,0.05,0.2,857.0,^SPX-2025-12-16-6515.0-P,SPXW251216P06515000,^SPX
